Roll_Rate_x	Pitch_Rate_y	Yaw_Rate_z	Latitude	Longitude	Altidude	Barometric_Pressure	a_x	a_y	a_z	Heading	v_x	v_y	v_z	Status	PosU	VelU	PITCH	ROLL	YAW
0.0	0.001	0.0	0.0	0.0	0.0	0.0026496	0.128	0.048	-9.24	-1.25	0.0	0.0	0.0	128	0.0	0.0	0.38	-0.08	65.51
-0.005	-0.011	-0.004	0.0	0.0	0.0	0.0006527999999999999	0.101	0.024	-9.369	-1.23	0.0	0.0	0.0	-32640	0.0	0.0	0.38	-0.08	65.51
-0.006	-0.014	0.0	0.0	0.0	0.0	0.0020992	0.054	0.023	-9.322000000000001	-1.25	0.0	0.0	0.0	-32640	0.0	0.0	0.39	-0.08	65.52
-0.006	-0.012	-0.003	0.0	0.0	0.0	-0.0027968	0.076	-0.017	-9.392	-1.26	0.0	0.0	0.0	-32640	0.0	0.0	0.39	-0.08	65.52
-0.003	-0.007	-0.001	0.0	0.0	0.0	0.0032064	0.08	-0.029	-9.321	-1.26	0.0	0.0	0.0	128	0.0	0.0	0.39	-0.08	65.52
0.003	0.006	0.001	0.0	0.0	0.0	0.0020992	0.091	0.014	-9.278	-1.25	0.0	0.0	0.0	128	0.0	0.0	0.39	-0.08	65.52
0.001	0.004	0.0	0.0	0.0	0.0	0.0032064	0.044	-0.009000000000000001	-9.317	-1.25	0.0	0.0	0.0	128	0.0	0.0	0.39	-0.08	65.52
0.001	0.004	0.002	0.0	0.0	0.0	0.0006527999999999999	0.069	0.024	-9.291	-1.26	0.0	0.0	0.0	-32640	0.0	0.0	0.39	-0.08	65.52
0.001	0.002	0.0	0.0	0.0	0.0	0.0006527999999999999	0.084	0.039	-9.305	-1.23	0.0	0.0	0.0	-32640	0.0	0.0	0.39	-0.08	65.52
0.001	0.002	0.002	0.0	0.0	0.0	-0.0027968	0.054	-0.013000000000000001	-9.327	-1.25	0.0	0.0	0.0	-32640	0.0	0.0	0.39	-0.08	65.52
-0.001	-0.002	0.001	0.0	0.0	0.0	0.0026496	0.08600000000000001	0.013000000000000001	-9.297	-1.24	0.0	0.0	0.0	128	0.0	0.0	0.39	-0.08	65.52
0.0	-0.002	0.001	0.0	0.0	0.0	0.0026496	0.073	0.0	-9.313	-1.27	0.0	0.0	0.0	128	0.0	0.0	0.39	-0.08	65.52
-0.001	-0.003	0.0	0.0	0.0	0.0	0.0026496	0.047	0.0	-9.338000000000001	-1.24	0.0	0.0	0.0	128	0.0	0.0	0.39	-0.08	65.52
-0.001	-0.002	0.0	0.0	0.0	0.0	0.0026496	0.066	0.0	-9.302	-1.25	0.0	0.0	0.0	-32640	0.0	0.0	0.39	-0.08	65.53
-0.001	-0.002	0.0	0.0	0.0	0.0	0.0026496	0.062	0.031	-9.302	-1.24	0.0	0.0	0.0	-32640	0.0	0.0	0.39	-0.08	65.53
0.0	0.002	0.0	0.0	0.0	0.0	0.0026496	0.077	0.006	-9.324	-1.26	0.0	0.0	0.0	128	0.0	0.0	0.39	-0.08	65.53
0.002	0.001	0.0	0.0	0.0	0.0	0.0032064	0.042	0.033	-9.305	-1.25	0.0	0.0	0.0	128	0.0	0.0	0.39	-0.08	65.53
0.001	0.001	0.0	0.0	0.0	0.0	-0.0013503999999999999	0.052000000000000005	0.029	-9.353	-1.24	0.0	0.0	0.0	128	0.0	0.0	0.39	-0.08	65.53
0.001	0.001	0.001	0.0	0.0	0.0	0.0026496	0.069	0.016	-9.298	-1.25	0.0	0.0	0.0	-32640	0.0	0.0	0.39	-0.08	65.53
0.001	0.0	0.0	0.0	0.0	0.0	-0.0027968	0.066	0.015	-9.327	-1.24	0.0	0.0	0.0	-32640	0.0	0.0	0.39	-0.08	65.53
0.0	-0.001	0.0	0.0	0.0	0.0	0.0026496	0.067	0.01	-9.319	-1.23	0.0	0.0	0.0	-32640	0.0	0.0	0.39	-0.08	65.53
0.0	0.0	0.0	0.0	0.0	0.0	0.0026496	0.058	0.016	-9.333	-1.27	0.0	0.0	0.0	128	0.0	0.0	0.39	-0.08	65.53
0.0	0.0	0.0	0.0	0.0	0.0	0.0025407999999999997	0.077	0.032	-9.363	-1.26	0.0	0.0	0.0	128	0.0	0.0	0.39	-0.08	65.53
0.0	0.0	0.0	0.0	0.0	0.0	0.0032064	0.055	0.003	-9.291	-1.25	0.0	0.0	0.0	128	0.0	0.0	0.39	-0.08	65.53
0.0	0.001	0.001	0.0	0.0	0.0	0.0026496	0.066	0.008	-9.315	-1.25	0.0	0.0	0.0	-32640	0.0	0.0	0.39	-0.08	65.53
0.001	0.0	0.0	0.0	0.0	0.0	0.0026496	0.098	0.002	-9.358	-1.24	0.0	0.0	0.0	-32640	0.0	0.0	0.39	-0.08	65.53
0.001	0.0	0.0	0.0	0.0	0.0	0.0032064	0.073	0.014	-9.236	-1.25	0.0	0.0	0.0	-32640	0.0	0.0	0.39	-0.08	65.54
0.002	0.003	0.0	0.0	0.0	0.0	0.0026496	0.061	0.024	-9.267	-1.25	0.0	0.0	0.0	128	0.0	0.0	0.4	-0.07	65.54
0.004	0.007	0.0	0.0	0.0	0.0	0.0026496	0.064	0.019	-9.276	-1.25	0.0	0.0	0.0	128	0.0	0.0	0.4	-0.07	65.54
0.0	0.004	0.002	0.0	0.0	0.0	0.000544	0.107	0.02	-9.496	-1.25	0.0	0.0	0.0	128	0.0	0.0	0.4	-0.07	65.54
-0.004	-0.01	0.001	0.0	0.0	0.0	0.0026496	0.065	0.034	-9.294	-1.24	0.0	0.0	0.0	-32640	0.0	0.0	0.39	-0.08	65.54
-0.001	-0.005	0.0	0.0	0.0	0.0	0.0006527999999999999	0.058	0.013000000000000001	-9.329	-1.24	0.0	0.0	0.0	-32640	0.0	0.0	0.39	-0.08	65.54
-0.002	-0.003	0.001	0.0	0.0	0.0	0.0026496	0.068	0.008	-9.304	-1.24	0.0	0.0	0.0	-32640	0.0	0.0	0.39	-0.08	65.54
-0.001	-0.004	0.0	0.0	0.0	0.0	0.0026496	0.07100000000000001	-0.026000000000000002	-9.288	-1.25	0.0	0.0	0.0	128	0.0	0.0	0.39	-0.08	65.54
